Country/Organization Name,Satellites In Orbit
UNITED STATES,2825
COMMONWEALTH OF INDEPENDENT STATES (FORMER USSR),1535
PEOPLE'S REPUBLIC OF CHINA,436
JAPAN,188
UNITED KINGDOM,154
INDIA,99
EUROPEAN SPACE AGENCY,92
INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION,86
GLOBALSTAR,84
FRANCE,75
GERMANY,71
CANADA,60
SOCIETE EUROPEENNE DES SATELLITES,56
EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION,54
ORBCOMM,41
ARGENTINA,34
ITALY,29
SPAIN,29
AUSTRALIA,25
SOUTH KOREA,24
ISRAEL,23
O3B NETWORKS,20
INDONESIA,18
INTERNATIONAL MOBILE SATELLITE ORGANIZATION (INMARSAT),18
BRAZIL,17
TAIWAN (REPUBLIC OF CHINA),16
SAUDI ARABIA,15
ARAB SATELLITE COMMUNICATIONS ORGANIZATION,14
MEXICO,13
TURKEY,13
SINGAPORE,11
SWEDEN,11
THAILAND,11
UNITED ARAB EMIRATES,11
DENMARK,9
EGYPT,9
EUROPEAN ORGANISATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES,9
NORWAY,9
ASIA SATELLITE TELECOMMUNICATIONS COMPANY (ASIASAT),8
KAZAKHSTAN,8
NETHERLANDS,8
NORTH ATLANTIC TREATY ORGANIZATION,8
MALAYSIA,7
ALGERIA,6
PAKISTAN,6
INTERNATIONAL SPACE STATION,5
LITHUANIA,5
NIGERIA,5
POLAND,5
SOUTH AFRICA,5
LUXEMBOURG,4
CHILE,3
CHINA/BRAZIL,3
CZECHIA,3
GREECE,3
VENEZUELA,3
VIETNAM,3
AZERBAIJAN,2
BELARUS,2
CZECH REPUBLIC (FORMER CZECHOSLOVAKIA),2
ECUADOR,2
ESTONIA,2
FRANCE/GERMANY,2
FRANCE/ITALY,2
IRAN,2
MOROCCO,2
NORTH KOREA,2
PERU,2
PHILIPPINES (REPUBLIC OF THE PHILIPPINES),2
PORTUGAL,2
REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORGANIZATION,2
REPUBLIC OF SLOVENIA,2
SINGAPORE/TAIWAN,2
BANGLADESH,1
BOLIVIA,1
BULGARIA,1
DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA,1
FEDERAL DEMOCRATIC REPUBLIC OF NEPAL,1
IRAQ,1
LAOS,1
LATVIA,1
NEW ICO,1
NEW ZEALAND,1
QATAR,1
REPUBLIC OF RWANDA,1
SEA LAUNCH,1
SLOVAKIA,1
TURKMENISTAN/MONACO,1
UNITED STATES/BRAZIL,1
URUGUAY,1
,
